disruption_type,n,density_mean,density_median,density_p10,density_p90,filled_mean
unknown,1195,0.45430032543003257,0.4444444444444444,0.3333333333333333,0.5555555555555556,4.088702928870293
country_relations,736,0.6156400966183575,0.6666666666666666,0.3333333333333333,0.8888888888888888,5.540760869565218
protests,462,0.6026936026936027,0.6111111111111112,0.3333333333333333,0.8888888888888888,5.424242424242424
flood,214,0.6121495327102804,0.6666666666666666,0.3333333333333333,0.8888888888888888,5.509345794392523
cyclone_hurricane,196,0.5357142857142857,0.5555555555555556,0.3333333333333333,0.7222222222222222,4.821428571428571
tariffs,184,0.5881642512077294,0.6666666666666666,0.3333333333333333,0.8888888888888888,5.293478260869565
trade_embargo,179,0.6213531967721911,0.6666666666666666,0.3333333333333333,0.7777777777777778,5.592178770949721
labour_strike,128,0.6328125,0.6666666666666666,0.3333333333333333,0.8888888888888888,5.6953125
extreme_heat,64,0.6371527777777778,0.6666666666666666,0.3333333333333333,0.8555555555555558,5.734375
drought,39,0.6296296296296295,0.6666666666666666,0.3333333333333333,0.7777777777777778,5.666666666666667
earthquake,36,0.6697530864197531,0.6666666666666666,0.3333333333333333,0.8888888888888888,6.027777777777778
landslide,6,0.5555555555555555,0.5555555555555556,0.38888888888888884,0.7222222222222222,5.0
mine_accident,5,0.7777777777777778,0.8888888888888888,0.5777777777777777,0.8888888888888888,7.0
