quarter,model_name,roc_auc,pr_auc,brier,brier_skill_score
2020-Q1,model5_xgb,0.8607711422923062,0.7558707629896657,0.1164176977642012,0.356674660295285
2020-Q2,model5_xgb,0.9225490954602342,0.8519301166142496,0.0901542007631382,0.4832047739464186
2020-Q3,model5_xgb,0.8954895315807369,0.8052166879340562,0.1177544378396788,0.3349606871705378
2020-Q4,model5_xgb,0.8923534712974286,0.7857922951626397,0.1043659477315636,0.3643872424226434
2021-Q1,model5_xgb,0.9102153462999976,0.8164029401720986,0.0837003146717092,0.4908417106502335
2021-Q2,model5_xgb,0.8824943369225349,0.7977488720818102,0.1048807025070649,0.3971790914077342
2021-Q3,model5_xgb,0.9145542613838726,0.8196995317266023,0.0936976004514072,0.4456609865253822
2021-Q4,model5_xgb,0.9036668237394906,0.8124083090444562,0.097764004697555,0.3944331712312731
2020-Q1,model6_xgb_nolag,0.8433238537898139,0.7309491991720308,0.12749500850029172,0.2954613325180593
2020-Q2,model6_xgb_nolag,0.9116823301854592,0.8316577830760586,0.10094265209786077,0.4213616196718408
2020-Q3,model6_xgb_nolag,0.9006812972285285,0.81620910718446,0.11093847594729828,0.37345505474037866
2020-Q4,model6_xgb_nolag,0.8898842624897403,0.781795663849513,0.11266553366268162,0.313840844722154
2021-Q1,model6_xgb_nolag,0.8975749717572147,0.7992115499360093,0.09235010331847411,0.43822408779065736
2021-Q2,model6_xgb_nolag,0.8770571436915782,0.7859135770382532,0.10513513829753375,0.3957166754368031
2021-Q3,model6_xgb_nolag,0.915517269111372,0.811749774232928,0.09615180873939931,0.4311412614238592
2021-Q4,model6_xgb_nolag,0.9066671777170029,0.8145603085071168,0.09493818376374284,0.4119367854382687
